block,ppsUSDC,ppsmkUSD,ppsUSDT,ppsFRAX
19158900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19160100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19161300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19162500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19163700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19164900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19166100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19167300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19168500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19169700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19170900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19172100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19173300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19174500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19175700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19176900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19178100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19179300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19180500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19181700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19182900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19184100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19185300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19186500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19187700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19188900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19190100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19191300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19192500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19193700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19194900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19196100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19197300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19198500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19199700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19200900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19202100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19203300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19204500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19205700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19206900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19208100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19209300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19210500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19211700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19212900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19214100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19215300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19216500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19217700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19218900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19220100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19221300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19222500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19223700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19224900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19226100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19227300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19228500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19229700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19230900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19232100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19233300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19234500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19235700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19236900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19238100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19239300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19240500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19241700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19242900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19244100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19245300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19246500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19247700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19248900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19250100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19251300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19252500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19253700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19254900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19256100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19257300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19258500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19259700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19260900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19262100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19263300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19264500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19265700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19266900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19268100,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19269300,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19270500,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19271700,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19272900,1.05E+18,1.00E+18,1.10E+18,1.05E+18
19274100,1.05E+18,1.00E+18,1.10E+18,1.06E+18
19275300,1.05E+18,1.00E+18,1.10E+18,1.06E+18
19276500,1.05E+18,1.00E+18,1.10E+18,1.06E+18
19277700,1.05E+18,1.00E+18,1.10E+18,1.07E+18
19278900,1.05E+18,1.00E+18,1.10E+18,1.07E+18
19280100,1.05E+18,1.00E+18,1.10E+18,1.07E+18
19281300,1.05E+18,1.00E+18,1.10E+18,1.08E+18
19282500,1.05E+18,1.00E+18,1.11E+18,1.08E+18
19283700,1.05E+18,1.00E+18,1.11E+18,1.08E+18
19284900,1.05E+18,1.00E+18,1.11E+18,1.09E+18
19286100,1.05E+18,1.00E+18,1.11E+18,1.09E+18
